1111 10.0.50.163 172.17.1.110
1121 10.0.50.164 172.17.1.111
1122 10.0.50.165 172.17.1.112
1112 10.0.50.166 172.17.1.113
1123 10.0.50.167 172.17.1.114
1124 10.0.50.168 172.17.1.115
1113 10.0.50.169 172.17.1.116
1125 10.0.50.170 172.17.1.117
1126 10.0.50.171 172.17.1.118
1114 10.0.50.172 172.17.1.119
1127 10.0.50.173 172.17.1.120
1128 10.0.50.174 172.17.1.121
1211 10.0.50.175 172.17.1.122
1221 10.0.50.176 172.17.1.123
1222 10.0.50.177 172.17.1.124
1212 10.0.50.178 172.17.1.125
1223 10.0.50.179 172.17.1.126
1224 10.0.50.180 172.17.1.127
1213 10.0.50.181 172.17.1.128
1225 10.0.50.182 172.17.1.129
1226 10.0.50.183 172.17.1.130
1214 10.0.50.184 172.17.1.131
1227 10.0.50.185 172.17.1.132
1228 10.0.50.186 172.17.1.133
1311 10.0.50.187 172.17.1.134
1321 10.0.50.188 172.17.1.135
1322 10.0.50.189 172.17.1.136
1312 10.0.50.190 172.17.1.137
1323 10.0.50.191 172.17.1.138
1324 10.0.50.192 172.17.1.139
1313 10.0.50.193 172.17.1.140
1325 10.0.50.194 172.17.1.141
1326 10.0.50.195 172.17.1.142
1314 10.0.50.196 172.17.1.143
1327 10.0.50.197 172.17.1.144
1328 10.0.50.198 172.17.1.145
1411 10.0.50.199 172.17.1.146
1421 10.0.50.200 172.17.1.147
1422 10.0.50.201 172.17.1.148
1412 10.0.50.202 172.17.1.149
1423 10.0.50.203 172.17.1.150
1424 10.0.50.204 172.17.1.151
1413 10.0.50.205 172.17.1.152
1425 10.0.50.206 172.17.1.153
1426 10.0.50.207 172.17.1.154
1414 10.0.50.208 172.17.1.155
1427 10.0.50.209 172.17.1.156
1428 10.0.50.210 172.17.1.157
